epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,1.1265144947856702,0.12456784471278286,1.0416697307393468,0.16460635082631628
1,0.9436198430454306,0.19319899368687746,1.0161214547938313,0.1778455223258616
2,0.9176418918378532,0.1995113431937449,1.0218461194428905,0.17873220866961453
3,0.9018105642382069,0.2036628536335953,1.0260175088870114,0.17938155916759757
4,0.8842149853779674,0.21248467932866383,1.0218394976751557,0.1872967717233756
5,0.8702056778899565,0.22227990287754645,1.0151920842713322,0.1932304803902235
6,0.8544446835145446,0.22998520141056006,1.0156049931357647,0.1950624855134861
7,0.8409987971791482,0.23647985080632258,1.0197955760462531,0.19405520297574058
8,0.8316349844284456,0.2410497104011894,1.022676606630457,0.19475313776688538
9,0.8209057459092228,0.24666343914537464,1.0153529826423218,0.19532709879268653
10,0.8096453984431822,0.25160642895026497,1.0074975428910091,0.19859662950870158
11,0.8004240208886206,0.2561475586141534,0.9969830952327827,0.2009956279617372
12,0.7901060601002176,0.2611932226353776,0.9858291546075508,0.2046975990995414
13,0.7832292703978103,0.2647263583886781,1.007183126206028,0.20201724545316618
14,0.7778983451563494,0.2671850965694463,0.9846942761334879,0.2115917024121104
15,0.7711279561598803,0.27087504939004275,1.015775690818655,0.2087510043892476
16,0.766893620420646,0.2720460953052348,1.0012998246941074,0.20678874737649464
17,0.7623121461305231,0.274207148017281,1.0003164766420578,0.21188602672084705
18,0.7614036242020527,0.2744562602383398,1.0403442745064866,0.1934667181551582
19,0.7580418678740587,0.275561494703605,1.0016850700666164,0.20743176584274525
20,0.7609112782158681,0.27591698976130646,0.9725504214393681,0.2181315778056285
21,0.7237548369909711,0.30746933610964716,0.9624202188489765,0.24608130616126864
22,0.6753386316997392,0.3534060113711499,0.9687995362127649,0.25186146772248635
23,0.6590579247232733,0.36897343193291976,0.9695631419790203,0.25885038705669966
24,0.6463612547696443,0.3785284846393348,0.9842251076780516,0.25264782699058086
25,0.641755337223209,0.3827610947187419,0.919114726113862,0.2799296221855049
26,0.6344153094592276,0.3876010309787396,0.9202309457649445,0.2903035497113859
27,0.6326274874300535,0.38793356890468267,0.9227926196723149,0.28584915033378633
28,0.6304766515230927,0.39059003376141926,0.9133459070119364,0.2918568124121144
29,0.6292018545619676,0.3909138994746633,0.9046368586092159,0.3055389186586048
